specObjID,z,ra,dec,type,dered_u,dered_g,dered_r,dered_i,dered_z
3660340536348352512,-4.520944E-05,162.09979,22.648615,6,19.1548,18.09999,17.71597,17.58235,17.5301
7236302018834618368,0.361735,162.10928,22.592697,3,23.13815,21.46675,19.57118,18.96317,18.57068
2793437176841398272,0.2504222,162.11548,22.612817,null,null,null,null,null,null
2793444049091061760,0.02355004,162.11548,22.612817,null,null,null,null,null,null
3660341086104166400,0.0004599853,162.05997,22.384104,6,18.5349,17.64877,17.26811,17.13031,17.07982
7236306416881129472,-0.0002855582,162.06606,22.319178,6,18.41014,17.51153,17.27097,17.17977,17.14676
2793438551532922880,0.3298109,162.06909,22.377501,6,18.38231,18.23773,18.00187,17.97278,17.62866
2793442124643723264,0.3298349,162.06909,22.377501,6,18.38231,18.23773,18.00187,17.97278,17.62866
6627064545096783872,0.30595,161.98564,17.816309,3,20.41973,19.76665,18.77604,18.36715,18.05057
2791119957864245248,0.06651588,161.99049,17.629426,3,19.54173,18.00352,17.28745,16.92536,16.6618
2791121882009593856,0.04136415,161.99444,17.602446,3,18.0044,16.17398,15.36211,14.97499,14.6683
6025982432855218176,-0.0001245122,161.99625,17.759382,6,21.76986,21.02565,20.70943,20.66283,20.99985
6627063995340969984,0.375365,161.99994,17.760298,3,23.27754,21.05809,19.38828,18.69801,18.29318
6025997551140100096,0.5481362,162.01482,17.687729,3,24.34883,21.14067,19.58505,18.63498,18.14518
6627063170707249152,0.5474011,162.01553,17.662568,3,25.62425,22.02132,20.12264,19.13827,18.75865
6025992603337775104,0.6008229,162.01688,17.782275,3,23.92919,22.6798,20.65224,19.57539,19.12503
2794566926834100224,0.1552088,162.03238,17.796782,3,20.11267,18.65313,17.72366,17.27526,16.97388
6025995901872658432,0.5503534,162.04029,17.671897,3,25.2392,21.68353,20.01917,19.2018,18.86225
6627053824858413056,0.6011881,162.06397,17.779647,3,22.91635,22.2649,20.44917,19.46001,18.87877
2791136725416568832,0.3200519,162.10054,17.781943,3,21.92077,20.10373,18.3573,17.81974,17.4803
6025997826018007040,0.8851974,162.10646,17.693743,null,null,null,null,null,null
6627062895829342208,0.4466192,162.10646,17.693743,null,null,null,null,null,null
6025993977727309824,1.203941,162.11342,17.771284,null,null,null,null,null,null
2791122981521221632,0.1347608,162.12059,17.726234,3,19.98188,18.54457,17.61366,17.16296,16.84383
2794561429275961344,0.06679197,162.14532,17.785419,3,18.5178,16.69864,15.79109,15.37447,15.01805
6025994527483123712,0.0001125026,162.15197,17.665828,6,20.20027,17.63469,16.57434,16.20578,16.0162
2791107038602618880,0.3537283,162.18768,17.635231,3,22.32502,19.82198,18.06404,17.45326,17.16333
6627062620951435264,0.5459487,162.18826,17.614486,3,24.49273,22.60965,19.9524,18.85331,18.43741
2794570500246890496,0.1554731,162.18898,17.610973,3,20.42377,18.22053,17.08978,16.62866,16.28337
6627062346073528320,0.2405791,162.19078,17.65283,3,22.26251,19.58167,18.18159,17.6385,17.345
2793423983003854848,0.1172808,162.09932,22.252473,3,20.24918,18.52402,17.57995,17.17455,16.82375
2793431679283259392,0.1173041,162.09932,22.252473,3,20.24918,18.52402,17.57995,17.17455,16.82375
2793425357393389568,0.04653786,162.12174,22.508335,3,19.07069,17.34902,16.56476,16.20564,15.91786
2793433878306514944,0.04650625,162.12174,22.508335,3,19.07069,17.34902,16.56476,16.20564,15.91786
7235052423970314240,2.173472,162.12439,22.287989,6,19.66937,19.40051,19.32852,19.0784,18.757
2793426182027110400,0.04647092,162.13488,22.432008,3,18.61366,16.75176,15.93765,15.54697,15.22472
2793434702940235776,0.04644639,162.13488,22.432008,3,18.61366,16.75176,15.93765,15.54697,15.22472
7236302843468339200,0.0008507005,162.1382,22.477528,6,22.1878,21.19134,21.00033,20.78329,20.65196
2793425082515482624,0.04899329,162.14846,22.249775,3,17.70619,15.77746,14.88266,14.4835,14.19305
2793431404405352448,0.04900483,162.14846,22.249775,3,17.70619,15.77746,14.88266,14.4835,14.19305
2793427556416645120,0.1093485,162.15277,22.309768,3,18.3992,17.2643,16.65394,16.29889,16.06627
2793432503916980224,0.1093524,162.15277,22.309768,3,18.3992,17.2643,16.65394,16.29889,16.06627
2793428930806179840,-2.369657E-05,162.16387,22.274337,6,24.267,21.18638,20.1685,19.75662,19.50232
2793430030015817728,-2.884731E-06,162.16387,22.274337,6,24.267,21.18638,20.1685,19.75662,19.50232
2793426731782924288,0.04410269,162.17898,22.314986,3,18.88631,17.14057,16.31353,15.95179,15.64142
2793433603428608000,0.04413493,162.17898,22.314986,3,18.88631,17.14057,16.31353,15.95179,15.64142
2793413812521297920,0.04570334,162.19868,22.256056,3,19.65427,18.10938,17.34942,17.02394,16.74323
2793420684166981632,0.0456729,162.19868,22.256056,3,19.65427,18.10938,17.34942,17.02394,16.74323
7236305867125315584,0.4703521,162.20704,22.294887,3,22.45592,22.10147,20.40874,19.54618,19.04865
2793416836178274304,0.04603916,162.21536,22.306956,3,19.4885,17.83641,17.01439,16.65948,16.38848
2793419034899539968,0.04601411,162.21536,22.306956,3,19.4885,17.83641,17.01439,16.65948,16.38848
2793414362277111808,0.04543151,162.21551,22.352247,3,19.82323,18.2068,17.56043,17.26961,17.04215
2793421783678609408,0.04547712,162.21551,22.352247,3,19.82323,18.2068,17.56043,17.26961,17.04215
7236304767613687808,0.6987695,162.22006,22.501131,3,22.99654,22.57974,20.86258,19.74712,19.45056
3660326792453005312,-1.823083E-05,162.22243,22.253727,6,20.69253,18.13801,16.89606,16.416,16.14931
2793416561300367360,0.0475243,162.22639,22.267623,3,18.20502,16.32295,15.44594,15.01099,14.6794
2793422333434423296,0.04746976,162.22639,22.267623,3,18.20502,16.32295,15.44594,15.01099,14.6794
7235042528365664256,0.6563331,162.24078,22.485272,3,22.01559,21.50083,20.6081,19.59532,18.99552
3660339986592538624,0.000256982,162.24721,22.446785,6,19.55545,18.26469,17.83865,17.67411,17.61126
7236305317369501696,0.3852664,162.24962,22.338301,3,22.95242,20.92127,19.14086,18.56397,18.16173
2793417385934088192,0.02542359,162.25071,22.288204,3,17.60238,16.43918,15.9033,15.62328,15.44781
2793420959044888576,0.02546654,162.25071,22.288204,3,17.60238,16.43918,15.9033,15.62328,15.44781
7235042253487757312,-0.0002856463,162.26387,22.508006,6,21.83745,21.05305,20.81869,20.78714,20.41748
3660339436836724736,-8.549482E-05,162.27582,22.471312,6,22.18624,18.95054,17.55091,16.88593,16.50389
7236315212974151680,-0.0003137305,162.27769,22.475225,6,21.91965,21.4903,21.27494,21.26579,21.03681
3660326242697191424,0.0003114735,162.28177,22.254894,6,19.30316,18.42396,18.06656,17.9628,17.93733
2793413537643390976,0.04671148,162.29,22.294481,3,19.67683,17.98673,17.18468,16.82071,16.5585
2793423432946051072,0.04670385,162.29,22.294481,3,19.67683,17.98673,17.18468,16.82071,16.5585
7236317961753221120,0.5119635,162.29471,22.341588,3,23.31341,21.57997,20.02465,19.21724,18.70858
2793415736666646528,0.04891539,162.30094,22.436143,3,17.96271,16.7355,16.37695,16.09808,16.02389
2793422058556516352,0.04891559,162.30094,22.436143,3,17.96271,16.7355,16.37695,16.09808,16.02389
7236316312485779456,0.6597008,162.30651,22.277269,3,23.36268,23.6815,21.62967,20.21018,19.62129
2793415186910832640,0.1597292,162.3074,22.252557,3,19.49267,18.18506,17.24866,16.83693,16.48799
2793422883190237184,0.1596628,162.3074,22.252557,3,19.49267,18.18506,17.24866,16.83693,16.48799
7236317686875314176,1.981714,162.30767,22.308793,6,18.93448,18.92999,18.95373,18.73335,18.56067
2793416286422460416,1.982966,162.30769,22.308802,6,18.93448,18.92999,18.95373,18.73335,18.56067
2793419584655353856,1.983317,162.30769,22.308802,6,18.93448,18.92999,18.95373,18.73335,18.56067
11790443752551897088,0.7778023,162.21909,31.258151,3,22.58866,22.46493,21.53209,20.91971,20.69478
11796160937752549376,1.096018,162.21963,31.300514,3,24.49367,22.42298,21.49439,21.04872,20.25673
12818559148640983040,0.9073157,162.22106,31.282743,6,22.05577,21.61538,21.52669,21.53436,21.12718
7256580862179039232,0.4898702,162.2243,31.263975,3,26.238,21.87131,20.32143,19.40541,18.8899
2230532568124516352,0.1172613,162.22561,31.326876,3,19.57925,17.50336,16.52123,16.11776,15.79363
2281153812750166016,0.1166167,162.23037,31.329227,3,18.56297,16.49368,15.46321,15.03565,14.68628
7259805729766529024,0.117962,162.23176,31.323739,3,22.83249,21.48948,20.50135,19.72304,19.44983
2230533117880330240,0.0009494559,162.23229,31.293262,6,18.86873,17.81979,17.79398,17.82755,17.90447
7256581686812760064,0.3512655,162.23436,31.218338,6,21.10788,20.22187,19.43288,19.22781,18.80434
2281155736895514624,0.03575629,162.23712,31.225311,3,18.19248,17.11364,16.8601,16.6942,16.73977
11796159563363014656,0.721478,162.24635,31.21951,6,23.44083,23.52457,22.57545,21.72927,20.94034
7259806004644435968,0.5345591,162.25877,31.276666,3,23.63135,21.90497,20.2172,19.29092,18.81296
11790444852063524864,0.1251409,162.28281,31.310991,null,null,null,null,null,null
2230530094223353856,0.1173487,162.28304,31.343475,3,20.03574,18.33113,17.35552,16.95639,16.63211
12818557774251448320,1.192387,162.28819,31.2466,6,20.29282,20.1791,19.79602,19.58497,19.72007
