specObjID,z,class,subClass,type,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z
564149832982226944,-0.0001060443,STAR,M6,6,150.30796,1.562783,24.77789,23.32396,21.62478,19.65171,18.61088
564152306883389440,0.000430009,STAR,Carbon_lines,6,150.38591,2.0674159,25.2787,21.01322,19.3529,18.77995,18.54196
564156979807807488,-8.408719E-05,STAR,M0V,6,149.77673,1.1636935,24.26302,21.76995,20.00442,19.29515,18.93569
564158629075249152,0.0003048669,STAR,F5,6,149.78541,1.4237542,17.56829,16.63034,16.33271,16.21461,16.22611
564159453708969984,9.269741E-05,STAR,F5,6,149.58978,1.761448,18.65951,17.65603,17.37017,17.262,17.2544
564161102976411648,3.090405E-05,STAR,F5,6,149.63787,1.7084526,18.40582,17.38903,17.12204,17.03508,16.99029
564173472482224128,0.0001181065,STAR,F9,6,150.04446,2.5671689,19.03927,17.41694,16.85887,16.67237,16.59774
564183917842688000,0.000255765,STAR,A0,6,150.11158,2.5094187,16.93302,16.08009,15.82973,15.74094,15.72688
564184467598501888,-0.0001820298,STAR,A0,6,150.14797,2.2805307,17.10718,16.30033,16.03444,15.94324,15.94617
564185841988036608,-0.0003376458,STAR,CV,6,150.23816,2.3636697,23.80164,21.57374,20.65599,20.40792,19.8654
564188315889199104,3.580429E-05,STAR,A0,6,150.64861,3.0065312,17.34835,16.13942,15.9254,15.84176,15.83199
564188590767106048,0.0006109287,STAR,O,6,150.82104,2.9195436,17.78818,18.16311,18.70707,19.05223,19.34491
564192164179896320,-9.178647E-05,STAR,M6,6,150.58841,2.5526453,24.9411,23.05335,21.35427,19.2872,18.1551
564194912958965760,1.479047E-05,STAR,F5,6,150.51764,2.214005,18.4864,17.45807,17.14664,17.0049,17.02065
564202609540360192,0.000276651,STAR,M3,6,150.75231,2.5924331,22.16108,20.34641,18.64966,18.03414,17.35488
564203434174081024,2.64012E-05,STAR,M4,6,150.67091,2.6058181,22.66075,20.8405,19.46194,18.10936,18.32197
564204533685708800,-1.367567E-05,STAR,M6,6,150.77958,2.3297777,24.00849,22.42492,20.833,18.8621,17.85406
564209756365940736,0.0003789967,STAR,A0,6,150.91352,2.3491399,17.39597,16.18691,16.24157,16.33387,16.41352
564210306121754624,8.037726E-05,STAR,M7,6,151.06536,2.6555676,24.96111,22.92205,21.30137,18.80515,17.51244
564211130755475456,8.798511E-05,STAR,M6,6,150.94353,2.3059003,24.29246,22.4275,20.6477,18.49907,17.22498
564217178069428224,0.0002257192,STAR,OB,6,151.17747,2.2841376,19.45902,19.52386,19.8082,20.08927,20.0021
564217452947335168,0.0002315741,STAR,CV,6,151.16201,2.3396977,19.87891,19.32866,19.115,19.08773,19.05443
564221850993846272,0.0006467021,STAR,F5,6,151.1234,2.7839425,19.16878,18.23269,17.83701,17.70137,17.65624
564230097331054592,0.0002783113,STAR,M6,6,151.45301,3.0474607,24.2232,22.75174,21.10163,19.05826,17.94834
564231196842682368,-2.845817E-05,STAR,F5,6,151.35261,3.1123704,22.69021,21.04757,20.57139,20.43516,20.10069
564232571232217088,0.000366693,STAR,F5,6,151.2959,3.0310737,17.70113,16.65881,16.29569,16.16317,16.1404
564233395865937920,-5.431184E-05,STAR,A0,6,151.51942,2.8844029,16.42691,15.19937,14.99527,15.24271,15.05803
564233670743844864,8.73704E-05,STAR,A0,6,151.39083,2.973277,17.49808,16.49345,16.32201,16.28231,16.31751
564235869767100416,0.000144122,STAR,A0,6,151.60455,2.6271981,18.78322,17.9254,17.67771,17.58122,17.56193
496559548530714624,-0.0004473438,STAR,G0,6,124.94892,46.965862,19.59294,18.43875,18.01582,17.84539,17.7934
496561197798156288,-0.0006000306,STAR,F5,6,124.65848,46.370018,19.10446,18.06844,17.75008,17.64087,17.58525
496562572187691008,2.890787E-05,STAR,M3,6,124.79496,46.347805,24.85653,22.43507,21.0614,19.92451,18.6497
496563946577225728,-2.303566E-05,STAR,F5,6,124.83035,46.83089,20.13038,18.99642,18.74931,18.64998,18.70803
496565595844667392,3.54385E-05,STAR,A0,6,124.51081,46.804234,18.73347,17.54983,17.67315,17.78862,17.9065
496565870722574336,0.0003070243,STAR,M6,6,124.48796,46.796778,25.24969,21.0915,19.56635,17.48736,16.35997
496566145600481280,0.0001627126,STAR,F5,6,124.17902,46.346627,17.98579,16.99489,16.6622,16.5412,16.51286
496566970234202112,-6.334686E-05,STAR,A0,6,124.08363,46.590251,19.48326,18.3311,18.2946,18.30602,18.32804
496567245112109056,-0.0001180157,STAR,K5,6,124.01665,46.40266,22.43834,20.37851,19.40766,18.73422,18.73678
496567519990016000,-0.0005507559,STAR,F5,6,124.37581,46.577712,16.89821,15.98093,15.71305,15.61564,15.603
496568619501643776,-0.0001029877,STAR,A0,6,123.89644,46.526239,17.88508,16.72539,16.76544,16.8022,16.88104
496574391937689600,-7.352803E-05,STAR,K5,6,124.69783,46.113778,21.35287,18.91704,17.92763,17.43293,17.39695
496574666815596544,5.271329E-05,STAR,F5,6,124.67688,45.742747,20.01095,18.89177,18.68285,18.58359,18.61246
496575766327224320,5.113692E-05,STAR,M3,6,124.51253,46.177928,23.93433,22.13338,20.64415,19.51433,18.76283
496577965350479872,0.0001220107,STAR,A0,6,123.74433,46.513964,16.43734,15.41498,15.34434,15.3386,15.37639
496579614617921536,-0.0001056905,STAR,M5,6,123.7259,46.787244,25.08244,22.82218,21.22512,19.1839,18.12104
496583737786525696,-2.890065E-05,STAR,M6,6,124.38073,45.989583,24.53327,22.04506,20.50994,18.56782,17.52714
496584562420246528,3.697085E-05,STAR,K5,6,124.11784,45.476076,22.73189,20.26476,19.27737,18.92255,18.89539
496585112176060416,-7.437179E-06,STAR,M6,6,124.22589,45.779599,21.7794,20.86259,19.31957,17.27769,16.16586
496587860955129856,5.397654E-06,STAR,K7,6,124.33481,45.602034,20.18207,17.61008,16.40388,15.97222,15.6993
496588135833036800,-0.000122912,STAR,M5,6,123.55137,46.629015,25.15374,22.39655,20.70728,18.77865,17.74266
496590059978385408,-9.134024E-05,STAR,M7,6,123.32642,46.463153,23.70722,22.99545,21.70707,19.14655,17.8044
496590334856292352,-7.267566E-05,STAR,M5,6,123.50935,46.245813,24.87215,22.41132,21.08384,19.14535,18.09785
496590609734199296,2.997397E-05,STAR,A0,6,123.46826,46.542098,19.3526,18.30287,18.16734,18.12442,18.19019
496590884612106240,-0.0003718845,STAR,F9,6,123.50459,46.875317,17.40627,16.27436,15.2424,15.69206,15.57528
